ID	Gene ID	Gene Name	Gene Length	Gene Completeness	Cohort Origin	Taxonomic Annotation(Phylum Level)	Taxonomic Annotation(Genus Level)	KEGG Annotation	eggNOG Annotation	Sample Occurence Frequency	Individual Occurence Frequency	KEGG Functional Categories	eggNOG Functional Categories	Cohort Assembled	239	ED50A_GL0021676	17310	Complete	CHN	Bacteroidetes	Bacteroides	K00599	COG4646;COG0827	0.0757695343330703	0.0766355140186916	Amino Acid Metabolism	Transcription;Replication, recombination and repair	CHN
251	MH0185_GL0087605	17184	Complete	EUR	Firmicutes	Coprococcus	K01179	firmNOG10853	0.0710339384372533	0.0728971962616822	Carbohydrate Metabolism	General function prediction only	EUR;CHN;USA
256	684738.LLKF_1213	17136	Complete	SP	Firmicutes	Lactococcus	K01779	COG1020	0.00236779794790845	0.00186915887850467	Amino Acid Metabolism	Secondary metabolites biosynthesis, transport and catabolism	NA
304	MH0244_GL0138579	16611	Complete	EUR	Bacteroidetes	Bacteroides	K00599	COG4646;COG0827	0.191791633780584	0.195327102803738	Amino Acid Metabolism	Transcription;Replication, recombination and repair	EUR
306	556261.HMPREF0240_03368	16590	Complete	SP	Firmicutes	Clostridium	K01447	bactNOG98080	0.0749802683504341	0.0663551401869159	Cellular Processes and Signaling	Intracellular trafficking, secretion, and vesicular transport	EUR
346	MH0206_GL0007618	16011	Lack 3'-end	EUR	Bacteroidetes	Bacteroides	K00599	COG4646;COG0827	0.0513022888713496	0.0467289719626168	Amino Acid Metabolism	Transcription;Replication, recombination and repair	EUR
429	457398.HMPREF0326_01805	15099	Complete	SP	Proteobacteria	Desulfovibrio	K12548	COG2931	0.058405682715075	0.0579439252336449	Cellular Processes and Signaling	Secondary metabolites biosynthesis, transport and catabolism	EUR;CHN
621	529507.PMI2043	13863	Complete	SP	Proteobacteria	Proteus	K10953	COG2931	0.0299921073401736	0.0280373831775701	Signaling Molecules and Interaction	Secondary metabolites biosynthesis, transport and catabolism	EUR
661	V1.FI33_GL0094513	13617	Complete	EUR	Firmicutes	Clostridium	K13734	COG4932	0.352012628255722	0.357009345794393	Infectious Diseases	Cell wall/membrane/envelope biogenesis	EUR;CHN;USA
699	MH0243_GL0100207	13401	Complete	EUR	Firmicutes	Eubacterium	K01183	COG3401	0.122336227308603	0.125233644859813	Carbohydrate Metabolism	General function prediction only	EUR
718	MH0389_GL0186981	13290	Complete	EUR	Firmicutes	Eubacterium	K01183	COG3401	0.0662983425414365	0.0635514018691589	Carbohydrate Metabolism	General function prediction only	EUR
765	V1.CD20-0_GL0042436	12996	Complete	EUR	Firmicutes	Clostridium	K08600	bactNOG74050	0.570639305445935	0.570093457943925	Enzyme Families	Cell wall/membrane/envelope biogenesis	EUR;CHN
